 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
,Soul Cbd,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Spectrum,,,,,,,,,FALSE,FALSE,TRUE,,753,
,Spotify,,,,,,,,,FALSE,FALSE,TRUE,,730,
,Square,,,,,,,,,FALSE,FALSE,TRUE,,736,
,Standard Process Supplements,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Standard Process Supplements?,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Starbucks,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Starpil Wax,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Staterbros,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Stax Sunset Lounge,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Steak house,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Sun Outdoors,,,,,,,,,FALSE,FALSE,TRUE,,757,
,Suya Tours,,,,,,,,,FALSE,FALSE,TRUE,,729,
,T Mobile,,,,,,,,,FALSE,FALSE,TRUE,,725,
,Tap Tag,,,,,,,,,FALSE,FALSE,TRUE,,723,
,Taqueria Orozco,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Tartan,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Tb Ret 672,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Tesla Inc Supercharger,,,,,,,,,FALSE,FALSE,TRUE,,731,
,Tesla Insurance,,,,,,,,,FALSE,FALSE,TRUE,,744,
,Tesla Service,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Tesla Subscription,,,,,,,,,FALSE,FALSE,TRUE,,731,
,The Cove,,,,,,,,,FALSE,FALSE,TRUE,,757,
,The Ran Chat The Pier,,,,,,,,,FALSE,FALSE,TRUE,,724,
,The Ranch at the Pier,,,,,,,,,FALSE,FALSE,TRUE,,732,
,The Rocket,,,,,,,,,FALSE,FALSE,TRUE,,723,
,The Spa At Sec-He,,,,,,,,,FALSE,FALSE,TRUE,,610,
,The Toll Roads of OC,,,,,,,,,FALSE,FALSE,TRUE,,732,
,The Ups Store,,,,,,,,,FALSE,FALSE,TRUE,,716,
,Theouai.Com,,,,,,,,,FALSE,FALSE,TRUE,,451,
,Tina Davies Professional,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Tom Hams Lighthouse,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Tommy Bahama,,,,,,,,,FALSE,FALSE,TRUE,,722,
,Topix Pharmaceuticals,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Total Wine And More,,,,,,,,,FALSE,FALSE,TRUE,,451,
,Trader Joes,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Transfer To 3712 (453),,,,,,,,,FALSE,FALSE,TRUE,,453,
,Transfer To 6965 (455),,,,,,,,,FALSE,FALSE,TRUE,,455,
,Transfer To 7582 (454),,,,,,,,,FALSE,FALSE,TRUE,,454,
,Tropic Air Ltd,,,,,,,,,FALSE,FALSE,TRUE,,757,
,Twin Graphics,,,,,,,,,FALSE,FALSE,TRUE,,723,
,Ulta,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Usps,,,,,,,,,FALSE,FALSE,TRUE,,716,
,Venmo,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Verizon,,,,,,,,,FALSE,FALSE,TRUE,,725,
,Vi Aesthetics,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Victorias Secret,,,,,,,,,FALSE,FALSE,TRUE,,451,
,Vip Service,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Vip Service Alliance,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Walgreens,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Walmart,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Ward Legal,,,,,,,,,FALSE,FALSE,TRUE,,747,
,Water Coffee Delivery,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Who Gives A Crap,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Win Home Inspection,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Your Income Tax Ladies,,,,,,,,,FALSE,FALSE,TRUE,,747,
,"Zelle  - Cake Pop Lady Cake Pops For Party""""",,,,,,,,,FALSE,FALSE,TRUE,,726,
,"Zelle  - Cake Pop Lady Cake Pops For Party"","","","","","",,,"",False,False,True,,726,""
"",Zelle  - Cake Pop Lady Cake Pops For Party""""""",,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle -  Kiersten Parr,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Abby Lashes,,,,,,,,,FALSE,FALSE,TRUE,,727,
,Zelle - Amy Farrar,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle - Ana Cleaning,,,,,,,,,FALSE,FALSE,TRUE,,765,
,Zelle - Ana Pacheco,,,,,,,,,FALSE,FALSE,TRUE,,765,
,Zelle - Angela Smith,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle - Ava Hundley,,,,,,,,,FALSE,FALSE,TRUE,,100,
,Zelle - Cake Pop Lady For,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle - Catherine Erwi,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Zelle - Catherine Erwin,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Zelle - Chris Junk Pickup,,,,,,,,,FALSE,FALSE,TRUE,,765,
,Zelle - Deandra Tavira,,,,,,,,,FALSE,FALSE,TRUE,,,
,Zelle - Devin Medical Consignment Aesthetics,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Eliza Arakelian,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Zelle - Erik,,,,,,,,,FALSE,FALSE,TRUE,,451,
,Zelle - George Auto Detailing,,,,,,,,,FALSE,FALSE,TRUE,,731,
,Zelle - George Auto Detailing Grajeda,,,,,,,,,FALSE,FALSE,TRUE,,731,
,Zelle - Griselda Esparzalara,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Gwen Rose,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Zelle - Jessica Rodriguez,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Zelle - Joe Martinez,,,,,,,,,FALSE,FALSE,TRUE,,999,
,Zelle - Jordan Allen,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle - Jordan Moore,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Kathleen Lee,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Katie Flores,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Katie Hospitality Office Manager,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Loma Linda Aesthetics Med Spa Dr,,,,,,,,,FALSE,FALSE,TRUE,,100,
,Zelle - Madison Alcala,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Manny Gardner,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Zelle - Manuel,,,,,,,,,FALSE,FALSE,TRUE,,762,
,"Zelle - Manuel For Re-Treat""""",,,,,,,,,FALSE,FALSE,TRUE,,726,
,"Zelle - Manuel For Re-Treat"","","","","","",,,"",False,False,True,,726,""
"",Zelle - Manuel For Re-Treat""""""",,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle - Marie,,,,,,,,,FALSE,FALSE,TRUE,,,
,Zelle - Mark Hower,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Zelle - Mike Hearns,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Nancy Arevalo,,,,,,,,,FALSE,FALSE,TRUE,,,
,Zelle - Nolan Moore,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Pest Control,,,,,,,,,FALSE,FALSE,TRUE,,762,
,Zelle - Ryan Panter,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Zelle - Ryan Panter New Number,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Zelle - Sharlene Agbayani,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle - Tonyaa,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Zelle - Zoe Rn Wallace,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle Payment - Katie Flores,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Zelle Payment From Anne Lombard,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Brittney Shepherd,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Danielle Liraortiz,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Deandra D Tavira,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Debra Knox,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Debra Strange,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Dionicia G Torres,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Floyd Velasquez,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Gretchen Nyman,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Julieta Deanda,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Kelly Daughtry,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Linda A Young,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Loma Linda Aesthetics Med Spa Drs,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Nancy Arevalo,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment From Vicki Ortega,,,,,,,,,FALSE,FALSE,TRUE,,120,
,Zelle Payment To Ryan Panter,,,,,,,,,FALSE,FALSE,TRUE,,750,
