 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","Lake Arrowhead Country Club","","","","","",,,"",False,False,True,,724,""
"","Laonline.Biz","","","","","",,,"",False,False,True,,726,""
"","Larue Performance","","","","","",,,"",False,False,True,,750,""
"","Leannas","","","","","",,,"",False,False,True,,724,""
"","Lendingpoint Llc","","","","","",,,"",False,False,True,,406,""
"","Lennox Industries","","","","","",,,"",False,False,True,,600,""
"","Little Cuca's","","","","","",,,"",False,False,True,,724,""
"","Little Rosie's","","","","","",,,"",False,False,True,,724,""
"","Loco Charlies Mex Grill","","","","","",,,"",False,False,True,,724,""
"","Love's","","","","","",,,"",False,False,True,,731,""
"","Lowes","","","","","",,,"",False,False,True,,615,""
"","Lucky Greek","","","","","",,,"",False,False,True,,724,""
"","Luna Grill","","","","","",,,"",False,False,True,,724,""
"","Madjek Inc","","","","","",,,"",False,False,True,,615,""
"","Main Oil Corp","","","","","",,,"",False,False,True,,731,""
"","Maki Yaki","","","","","",,,"",False,False,True,,724,""
"","Marios Place Restaurant","","","","","",,,"",False,False,True,,724,""
"","Masala","","","","","",,,"",False,False,True,,724,""
"","Mcdonalds","","","","","",,,"",False,False,True,,724,""
"","Mega Burger","","","","","",,,"",False,False,True,,724,""
"","Melin","","","","","",,,"",False,False,True,,722,""
"","Menos Tire Shop","","","","","",,,"",False,False,True,,750,""
"","Mia Islander Bar & Grill","","","","","",,,"",False,False,True,,724,""
"","Mimis Cafe","","","","","",,,"",False,False,True,,724,""
"","Minutekey","","","","","",,,"",False,False,True,,750,""
"","Missing Description","","","","","",,,"",False,False,True,,999,""
"","Mission Pcfc Hotel","","","","","",,,"",False,False,True,,757,""
"","Mitla Restaurants","","","","","",,,"",False,False,True,,724,""
"","Molinos Coffee","","","","","",,,"",False,False,True,,724,""
"","Monster Jam","","","","","",,,"",False,False,True,,729,""
"","Morongo Travel","","","","","",,,"",False,False,True,,724,""
"","Nanami Sushi","","","","","",,,"",False,False,True,,724,""
"","Napa Store","","","","","",,,"",False,False,True,,731,""
"","Napoli","","","","","",,,"",False,False,True,,724,""
"","Netflix","","","","","",,,"",False,False,True,,730,""
"","New Balance","","","","","",,,"",False,False,True,,722,""
"","Newrez-Shellpoint","","","","","",,,"",False,False,True,,451,""
"","Niko Niko Sushi","","","","","",,,"",False,False,True,,724,""
"","Norco Ignite Fuel","","","","","",,,"",False,False,True,,731,""
"","Nordstrom Rack","","","","","",,,"",False,False,True,,722,""
"","Norms","","","","","",,,"",False,False,True,,724,""
"","Oak Glen Steak House","","","","","",,,"",False,False,True,,724,""
"","Oak Mountain Winery","","","","","",,,"",False,False,True,,724,""
"","Ocean Pho","","","","","",,,"",False,False,True,,724,""
"","Off-Us Atm Withdrawal","","","","","",,,"",False,False,True,,615,""
"","Old Spaghetti Factory","","","","","",,,"",False,False,True,,724,""
"","One More Bite Dumpling","","","","","",,,"",False,False,True,,724,""
"","Orange Show Food","","","","","",,,"",False,False,True,,724,""
"","O'Reilly Auto Parts","","","","","",,,"",False,False,True,,731,""
"","P & G Burger Inc","","","","","",,,"",False,False,True,,724,""
"","P P S Pay","","","","","",,,"",False,False,True,,708,""
"","Pacific Auto Spa","","","","","",,,"",False,False,True,,731,""
"","Panda Express","","","","","",,,"",False,False,True,,724,""
"","Panera Bread","","","","","",,,"",False,False,True,,724,""
"","Papi Tacos & Churros","","","","","",,,"",False,False,True,,724,""
"","Paradise Embrodery & Screen Printing","","","","","",,,"",False,False,True,,723,""
"","Paradisus Cabo San Lucas","","","","","",,,"",False,False,True,,724,""
"","Paradisus Los Cabos","","","","","",,,"",False,False,True,,757,""
"","Parts Town","","","","","",,,"",False,False,True,,615,""
"","Past Due Fee","","","","","",,,"",False,False,True,,717,""
"","Patton Sales","","","","","",,,"",False,False,True,,726,""
"","Pegasus Hobbies","","","","","",,,"",False,False,True,,726,""
"","Petsmart","","","","","",,,"",False,False,True,,451,""
"","Pf Changs","","","","","",,,"",False,False,True,,724,""
"","Phantom Halloween","","","","","",,,"",False,False,True,,451,""
"","Pho 92","","","","","",,,"",False,False,True,,724,""
"","Pho Ha","","","","","",,,"",False,False,True,,724,""
"","Pizza Hut","","","","","",,,"",False,False,True,,724,""
"","Poke Bar","","","","","",,,"",False,False,True,,724,""
